Date,Open,High,Low,Close,Adj Close,Volume
2023-03-29,78323.453125,78323.453125,76629.976563,78154.109375,78154.109375,499326
2023-03-30,78154.109375,78916.171875,77900.085938,78492.804688,78492.804688,715331
2023-03-31,78577.476563,78916.171875,76629.976563,77392.039063,77392.039063,1220681
2023-04-03,77646.062500,78662.148438,77222.695313,78577.476563,78577.476563,959798
2023-04-04,78577.476563,78662.148438,77561.390625,77900.085938,77900.085938,369534
2023-04-05,78154.109375,78154.109375,77138.015625,77984.757813,77984.757813,510192
2023-04-06,77476.710938,77984.757813,77222.695313,77222.695313,77222.695313,495193
2023-04-07,77053.343750,77138.015625,75783.234375,76206.601563,76206.601563,995819
2023-04-10,76206.601563,76206.601563,75359.867188,75359.867188,75359.867188,805796
2023-04-11,75359.867188,76206.601563,74682.468750,74682.468750,74682.468750,977395
2023-04-12,74767.148438,75021.171875,74513.125000,74767.148438,74767.148438,686633
2023-04-13,74767.148438,74936.492188,74343.773438,74682.468750,74682.468750,669627
2023-04-14,74767.148438,75444.539063,74682.468750,74851.820313,74851.820313,564281
2023-04-17,74851.820313,74936.492188,74343.773438,74851.820313,74851.820313,667146
2023-04-18,74767.148438,75021.171875,74089.757813,74513.125000,74513.125000,895316
2023-04-19,74597.796875,75105.843750,74513.125000,74936.492188,74936.492188,582114
2023-04-20,75190.515625,75190.515625,74513.125000,74767.148438,74767.148438,304461
2023-04-21,74513.125000,74597.796875,74005.078125,74089.757813,74089.757813,1247726
2023-04-24,74513.125000,74936.492188,73666.382813,74428.453125,74428.453125,691121
2023-04-25,74682.468750,74936.492188,74089.757813,74767.148438,74767.148438,668209
2023-04-26,74513.125000,75783.234375,74428.453125,75698.562500,75698.562500,4778295
2023-04-27,75105.843750,76629.976563,74851.820313,76206.601563,76206.601563,851855
2023-04-28,76206.601563,76629.976563,75190.515625,76629.976563,76629.976563,874766
2023-05-01,null,null,null,null,null,null
2023-05-02,null,null,null,null,null,null
2023-05-03,null,null,null,null,null,null
2023-05-04,76206.601563,76206.601563,74936.492188,74936.492188,74936.492188,660179
2023-05-05,74936.492188,76121.929688,74682.468750,76037.257813,76037.257813,709190
2023-05-08,76206.601563,78916.171875,76037.257813,78746.828125,78746.828125,1846139
2023-05-09,78746.828125,79508.890625,78154.109375,78154.109375,78154.109375,1203911
2023-05-10,77815.414063,78746.828125,77561.390625,77900.085938,77900.085938,968892
2023-05-11,77900.085938,77984.757813,77053.343750,77053.343750,77053.343750,804969
2023-05-12,77053.343750,78577.476563,76884.000000,78577.476563,78577.476563,1055223
